AOU_Code,AcceptedTSN,Admin_Sheet,Admin_Unit_Code,Common_Name,Date,Distance,Disturbance,End_Time,Flyover_Observed,Habitat,Humidity,ID_Method,Initial_Three_Min_Cnt,Interval_Length,Location_Type,NPSTaxonCode,Observer,PIF_Watchlist_Status,Plot_Name,Regional_Stewardship_Status,Scientific_Name,Sex,Site_Name,Sky,Start_Time,Sub_Unit_Code,Temperature,Visit,Wind,Year
FISP,179443.0,ANTI,ANTI,Field Sparrow,2018-05-22,50 - 100 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Singing,False,7.5 - 10 min,Forest,84790.0,Kimberly Serno,False,ANTI-0078,True,Spizella pusilla,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
INBU,179150.0,ANTI,ANTI,Indigo Bunting,2018-05-22,<= 50 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Singing,False,2.5 - 5 min,Forest,94257.0,Kimberly Serno,False,ANTI-0078,True,Passerina cyanea,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
MODO,177125.0,ANTI,ANTI,Mourning Dove,2018-05-22,50 - 100 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Calling,True,0-2.5 min,Forest,82737.0,Kimberly Serno,False,ANTI-0078,False,Zenaida macroura,,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
NOCA,179124.0,ANTI,ANTI,Northern Cardinal,2018-05-22,<= 50 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Singing,True,0-2.5 min,Forest,94228.0,Kimberly Serno,False,ANTI-0078,False,Cardinalis cardinalis,,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
NOCA,179124.0,ANTI,ANTI,Northern Cardinal,2018-05-22,50 - 100 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Singing,True,0-2.5 min,Forest,94228.0,Kimberly Serno,False,ANTI-0078,False,Cardinalis cardinalis,,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
FISP,179443.0,ANTI,ANTI,Field Sparrow,2018-05-22,<= 50 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Singing,False,7.5 - 10 min,Forest,84790.0,Kimberly Serno,False,ANTI-0078,True,Spizella pusilla,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
CHSP,179435.0,ANTI,ANTI,Chipping Sparrow,2018-05-22,50 - 100 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Singing,False,7.5 - 10 min,Forest,84781.0,Kimberly Serno,False,ANTI-0078,False,Spizella passerina,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
EATO,179276.0,ANTI,ANTI,Eastern Towhee,2018-05-22,<= 50 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Singing,False,5 - 7.5 min,Forest,83803.0,Kimberly Serno,False,ANTI-0078,True,Pipilo erythrophthalmus,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
FISP,179443.0,ANTI,ANTI,Field Sparrow,2018-05-22,50 - 100 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Singing,True,0-2.5 min,Forest,84790.0,Kimberly Serno,False,ANTI-0078,True,Spizella pusilla,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
BGGN,179853.0,ANTI,ANTI,Blue-gray Gnatcatcher,2018-05-22,<= 50 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Calling,False,5 - 7.5 min,Forest,88038.0,Kimberly Serno,False,ANTI-0078,False,Polioptila caerulea,,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
CACH,554383.0,ANTI,ANTI,Carolina Chickadee,2018-05-22,<= 50 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Calling,False,2.5 - 5 min,Forest,265876.0,Kimberly Serno,False,ANTI-0078,True,Poecile carolinensis,,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
CEDW,178532.0,ANTI,ANTI,Cedar Waxwing,2018-05-22,<= 50 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Calling,False,5 - 7.5 min,Forest,88296.0,Kimberly Serno,False,ANTI-0078,False,Bombycilla cedrorum,,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
EATO,179276.0,ANTI,ANTI,Eastern Towhee,2018-05-22,50 - 100 Meters,No effect on count,07:31:00,False,Forest,75.8000030517578,Singing,False,2.5 - 5 min,Forest,83803.0,Kimberly Serno,False,ANTI-0078,True,Pipilo erythrophthalmus,Undetermined,ANTI 1,Mist/Drizzle,07:21:00,,21.7000007629395,1,Light air movement (1-3 mph) smoke drifts,2018
BLJA,179680.0,ANTI,ANTI,Blue Jay,2018-05-23,50 - 100 Meters,Moderate effect on count,08:38:00,False,Forest,66.0,Calling,True,0-2.5 min,Forest,86252.0,Elizabeth Oswald,False,ANTI-0025,False,Cyanocitta cristata,,ANTI 1,Partly Cloudy,08:28:00,,28.5,1,Light breeze (4-7 mph) wind felt on face,2018
EABL,179801.0,ANTI,ANTI,Eastern Bluebird,2018-05-23,<= 50 Meters,Moderate effect on count,08:38:00,False,Forest,66.0,Visualization,False,7.5 - 10 min,Forest,87184.0,Elizabeth Oswald,False,ANTI-0025,False,Sialia sialis,Undetermined,ANTI 1,Partly Cloudy,08:28:00,,28.5,1,Light breeze (4-7 mph) wind felt on face,2018
AMGO,179236.0,ANTI,ANTI,American Goldfinch,2018-05-23,50 - 100 Meters,Moderate effect on count,08:38:00,False,Forest,66.0,Calling,True,0-2.5 min,Forest,95300.0,Elizabeth Oswald,False,ANTI-0025,False,Spinus tristis,,ANTI 1,Partly Cloudy,08:28:00,,28.5,1,Light breeze (4-7 mph) wind felt on face,2018
CEDW,178532.0,ANTI,ANTI,Cedar Waxwing,2018-05-23,,Moderate effect on count,08:38:00,True,Forest,66.0,Visualization,True,0-2.5 min,Forest,88296.0,Elizabeth Oswald,False,ANTI-0025,False,Bombycilla cedrorum,,ANTI 1,Partly Cloudy,08:28:00,,28.5,1,Light breeze (4-7 mph) wind felt on face,2018
FISP,179443.0,ANTI,ANTI,Field Sparrow,2018-05-23,50 - 100 Meters,Moderate effect on count,08:38:00,False,Forest,66.0,Singing,True,0-2.5 min,Forest,84790.0,Elizabeth Oswald,False,ANTI-0025,True,Spizella pusilla,Undetermined,ANTI 1,Partly Cloudy,08:28:00,,28.5,1,Light breeze (4-7 mph) wind felt on face,2018
INBU,179150.0,ANTI,ANTI,Indigo Bunting,2018-05-23,50 - 100 Meters,Moderate effect on count,08:38:00,False,Forest,66.0,Singing,False,2.5 - 5 min,Forest,94257.0,Elizabeth Oswald,False,ANTI-0025,True,Passerina cyanea,Undetermined,ANTI 1,Partly Cloudy,08:28:00,,28.5,1,Light breeze (4-7 mph) wind felt on face,2018
RWBL,179045.0,ANTI,ANTI,Red-winged Blackbird,2018-05-23,,Moderate effect on count,08:38:00,True,Forest,66.0,Visualization,False,5 - 7.5 min,Forest,93613.0,Elizabeth Oswald,False,ANTI-0025,False,Agelaius phoeniceus,,ANTI 1,Partly Cloudy,08:28:00,,28.5,1,Light breeze (4-7 mph) wind felt on face,2018
NOMO,178620.0,ANTI,ANTI,Northern Mockingbird,2018-05-23,50 - 100 Meters,Moderate effect on count,08:38:00,False,Forest,66.0,Singing,True,2.5 - 5 min,Forest,88394.0,Elizabeth Oswald,False,ANTI-0025,False,Mimus polyglottos,,ANTI 1,Partly Cloudy,08:28:00,,28.5,1,Light breeze (4-7 mph) wind felt on face,2018
CARW,178581.0,ANTI,ANTI,Carolina Wren,2018-05-23,50 - 100 Meters,Moderate effect on count,09:36:00,False,Forest,62.9000015258789,Calling,True,0-2.5 min,Forest,88350.0,Elizabeth Oswald,False,ANTI-0052,False,Thryothorus ludovicianus,,ANTI 1,Partly Cloudy,09:26:00,,27.5,1,Light air movement (1-3 mph) smoke drifts,2018
ETTI,554138.0,ANTI,ANTI,Eastern Tufted Titmouse,2018-05-23,<= 50 Meters,Moderate effect on count,09:36:00,False,Forest,62.9000015258789,Singing,False,5 - 7.5 min,Forest,266957.0,Elizabeth Oswald,False,ANTI-0052,False,Baeolophus bicolor,,ANTI 1,Partly Cloudy,09:26:00,,27.5,1,Light air movement (1-3 mph) smoke drifts,2018
PIWO,178166.0,ANTI,ANTI,Pileated Woodpecker,2018-05-23,<= 50 Meters,Moderate effect on count,09:36:00,False,Forest,62.9000015258789,Visualization,False,7.5 - 10 min,Forest,84833.0,Elizabeth Oswald,False,ANTI-0052,False,Dryocopus pileatus,Male,ANTI 1,Partly Cloudy,09:26:00,,27.5,1,Light air movement (1-3 mph) smoke drifts,2018
PIWO,178166.0,ANTI,ANTI,Pileated Woodpecker,2018-05-23,<= 50 Meters,Moderate effect on count,09:36:00,False,Forest,62.9000015258789,Visualization,False,7.5 - 10 min,Forest,84833.0,Elizabeth Oswald,False,ANTI-0052,False,Dryocopus pileatus,Undetermined,ANTI 1,Partly Cloudy,09:26:00,,27.5,1,Light air movement (1-3 mph) smoke drifts,2018
NOCA,179124.0,ANTI,ANTI,Northern Cardinal,2018-05-23,<= 50 Meters,Moderate effect on count,09:36:00,False,Forest,62.9000015258789,Singing,True,0-2.5 min,Forest,94228.0,Elizabeth Oswald,False,ANTI-0052,False,Cardinalis cardinalis,,ANTI 1,Partly Cloudy,09:26:00,,27.5,1,Light air movement (1-3 mph) smoke drifts,2018
NOCA,179124.0,ANTI,ANTI,Northern Cardinal,2018-05-23,<= 50 Meters,Moderate effect on count,09:36:00,False,Forest,62.9000015258789,Calling,True,0-2.5 min,Forest,94228.0,Elizabeth Oswald,False,ANTI-0052,False,Cardinalis cardinalis,,ANTI 1,Partly Cloudy,09:26:00,,27.5,1,Light air movement (1-3 mph) smoke drifts,2018
BHCO,179112.0,ANTI,ANTI,Brown-headed Cowbird,2018-05-23,<= 50 Meters,Moderate effect on count,09:36:00,False,Forest,62.9000015258789,Visualization,False,5 - 7.5 min,Forest,94215.0,Elizabeth Oswald,False,ANTI-0052,False,Molothrus ater,Undetermined,ANTI 1,Partly Cloudy,09:26:00,,27.5,1,Light air movement (1-3 mph) smoke drifts,2018
FISP,179443.0,ANTI,ANTI,Field Sparrow,2018-05-23,50 - 100 Meters,Moderate effect on count,09:36:00,False,Forest,62.9000015258789,Singing,False,5 - 7.5 min,Forest,84790.0,Elizabeth Oswald,False,ANTI-0052,True,Spizella pusilla,Undetermined,ANTI 1,Partly Cloudy,09:26:00,,27.5,1,Light air movement (1-3 mph) smoke drifts,2018
ETTI,554138.0,ANTI,ANTI,Eastern Tufted Titmouse,2018-05-23,50 - 100 Meters,Moderate effect on count,09:36:00,False,Forest,62.9000015258789,Singing,False,2.5 - 5 min,Forest,266957.0,Elizabeth Oswald,False,ANTI-0052,False,Baeolophus bicolor,,ANTI 1,Partly Cloudy,09:26:00,,27.5,1,Light air movement (1-3 mph) smoke drifts,2018
EAWP,178359.0,ANTI,ANTI,Eastern Wood-Pewee,2018-05-23,50 - 100 Meters,Moderate effect on count,09:36:00,False,Forest,62.9000015258789,Singing,False,5 - 7.5 min,Forest,85846.0,Elizabeth Oswald,False,ANTI-0052,True,Contopus virens,Undetermined,ANTI 1,Partly Cloudy,09:26:00,,27.5,1,Light air movement (1-3 mph) smoke drifts,2018
CEDW,178532.0,ANTI,ANTI,Cedar Waxwing,2018-05-23,<= 50 Meters,Moderate effect on count,09:36:00,False,Forest,62.9000015258789,Singing,True,0-2.5 min,Forest,88296.0,Elizabeth Oswald,False,ANTI-0052,False,Bombycilla cedrorum,,ANTI 1,Partly Cloudy,09:26:00,,27.5,1,Light air movement (1-3 mph) smoke drifts,2018
BGGN,179853.0,ANTI,ANTI,Blue-gray Gnatcatcher,2018-05-23,<= 50 Meters,Moderate effect on count,09:36:00,False,Forest,62.9000015258789,Calling,True,0-2.5 min,Forest,88038.0,Elizabeth Oswald,False,ANTI-0052,False,Polioptila caerulea,,ANTI 1,Partly Cloudy,09:26:00,,27.5,1,Light air movement (1-3 mph) smoke drifts,2018
BHCO,179112.0,ANTI,ANTI,Brown-headed Cowbird,2018-05-23,<= 50 Meters,Moderate effect on count,09:36:00,False,Forest,62.9000015258789,Visualization,False,5 - 7.5 min,Forest,94215.0,Elizabeth Oswald,False,ANTI-0052,False,Molothrus ater,Male,ANTI 1,Partly Cloudy,09:26:00,,27.5,1,Light air movement (1-3 mph) smoke drifts,2018
CEDW,178532.0,ANTI,ANTI,Cedar Waxwing,2018-05-23,<= 50 Meters,Slight effect on count,10:11:00,False,Forest,61.2000007629395,Singing,True,0-2.5 min,Forest,88296.0,Elizabeth Oswald,False,ANTI-0072,False,Bombycilla cedrorum,,ANTI 1,Clear or Few Clouds,10:01:00,,26.1000003814697,1,Light breeze (4-7 mph) wind felt on face,2018
CARW,178581.0,ANTI,ANTI,Carolina Wren,2018-05-23,50 - 100 Meters,Slight effect on count,10:11:00,False,Forest,61.2000007629395,Singing,True,0-2.5 min,Forest,88350.0,Elizabeth Oswald,False,ANTI-0072,False,Thryothorus ludovicianus,,ANTI 1,Clear or Few Clouds,10:01:00,,26.1000003814697,1,Light breeze (4-7 mph) wind felt on face,2018
CACH,554383.0,ANTI,ANTI,Carolina Chickadee,2018-05-23,50 - 100 Meters,Slight effect on count,10:11:00,False,Forest,61.2000007629395,Singing,False,5 - 7.5 min,Forest,265876.0,Elizabeth Oswald,False,ANTI-0072,True,Poecile carolinensis,,ANTI 1,Clear or Few Clouds,10:01:00,,26.1000003814697,1,Light breeze (4-7 mph) wind felt on face,2018
ETTI,554138.0,ANTI,ANTI,Eastern Tufted Titmouse,2018-05-23,<= 50 Meters,Slight effect on count,10:11:00,False,Forest,61.2000007629395,Calling,True,0-2.5 min,Forest,266957.0,Elizabeth Oswald,False,ANTI-0072,False,Baeolophus bicolor,,ANTI 1,Clear or Few Clouds,10:01:00,,26.1000003814697,1,Light breeze (4-7 mph) wind felt on face,2018
NOCA,179124.0,ANTI,ANTI,Northern Cardinal,2018-05-23,50 - 100 Meters,Slight effect on count,10:11:00,False,Forest,61.2000007629395,Singing,True,0-2.5 min,Forest,94228.0,Elizabeth Oswald,False,ANTI-0072,False,Cardinalis cardinalis,,ANTI 1,Clear or Few Clouds,10:01:00,,26.1000003814697,1,Light breeze (4-7 mph) wind felt on face,2018
RBWO,178195.0,ANTI,ANTI,Red-bellied Woodpecker,2018-05-23,50 - 100 Meters,Slight effect on count,10:11:00,False,Forest,61.2000007629395,Calling,True,0-2.5 min,Forest,84865.0,Elizabeth Oswald,False,ANTI-0072,False,Melanerpes carolinus,,ANTI 1,Clear or Few Clouds,10:01:00,,26.1000003814697,1,Light breeze (4-7 mph) wind felt on face,2018
REVI,179021.0,ANTI,ANTI,Red-eyed Vireo,2018-05-23,50 - 100 Meters,Slight effect on count,10:11:00,False,Forest,61.2000007629395,Singing,False,2.5 - 5 min,Forest,93587.0,Elizabeth Oswald,False,ANTI-0072,False,Vireo olivaceus,Undetermined,ANTI 1,Clear or Few Clouds,10:01:00,,26.1000003814697,1,Light breeze (4-7 mph) wind felt on face,2018
